class_id,subject,building,teacher_name,student_nmec,student_name,exam_date
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88888,Roobbie SMITH,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88889,Ronica GARCIA,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88890,Ronda RODRIGUEZ,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88891,Ronni ALLEN,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88892,Roseanne HALL,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88893,Rosemary SMITH,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88894,Roslyn TAYLOR,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88895,Ronnica TAYLOR,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88896,Roseanna MARTINEZ,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88897,Rosemonde MILLER,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88898,Ronnie WILSON,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88899,Romola DAVIS,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88900,Roch WHITE,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88901,Roseanne HALL,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88902,Rosanna JACKSON,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88903,Ronnica GARCIA,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88904,Rosemary LEE,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88905,Romonda MOORE,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88906,Rosalie LEE,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88907,Rora WILSON,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88908,Rosaline ALLEN,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88909,Roselle WILSON,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88910,Romola MOORE,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88911,Romona JACKSON,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88912,Roseann ALLEN,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88913,Ros WILLIAMS,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88914,Ronnie TAYLOR,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88915,Rosanne WILSON,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88916,Rosabella THOMPSON,2023-02-11
0,Analysis and Exploration of Vulnerabilities,B6,Roslyn SMITH,88917,Ronalda WHITE,2023-02-11
1,Databases,C4,Rosie THOMPSON,88918,Rochell MILLER,2023-01-17
1,Databases,C4,Rosie THOMPSON,88919,Ronnica TAYLOR,2023-01-17
1,Databases,C4,Rosie THOMPSON,88920,Roch WILSON,2023-01-17
1,Databases,C4,Rosie THOMPSON,88921,Rodina THOMPSON,2023-01-17
1,Databases,C4,Rosie THOMPSON,88922,Romy MILLER,2023-01-17
1,Databases,C4,Rosie THOMPSON,88923,Roobbie THOMPSON,2023-01-17
1,Databases,C4,Rosie THOMPSON,88924,Rosa ALLEN,2023-01-17
1,Databases,C4,Rosie THOMPSON,88925,Ronni GARCIA,2023-01-17
1,Databases,C4,Rosie THOMPSON,88926,Rosana MARTINEZ,2023-01-17
1,Databases,C4,Rosie THOMPSON,88927,Rosalyn YOUNG,2023-01-17
1,Databases,C4,Rosie THOMPSON,88928,Roseanna ALLEN,2023-01-17
1,Databases,C4,Rosie THOMPSON,88929,Rosa MARTINEZ,2023-01-17
1,Databases,C4,Rosie THOMPSON,88930,Rosie YOUNG,2023-01-17
1,Databases,C4,Rosie THOMPSON,88931,Roch DAVIS,2023-01-17
1,Databases,C4,Rosie THOMPSON,88932,Rosana JOHNSON,2023-01-17
1,Databases,C4,Rosie THOMPSON,88933,Rochelle MOORE,2023-01-17
1,Databases,C4,Rosie THOMPSON,88934,Rosanna JACKSON,2023-01-17
1,Databases,C4,Rosie THOMPSON,88935,Roselle DAVIS,2023-01-17
1,Databases,C4,Rosie THOMPSON,88936,Rona CLARK,2023-01-17
1,Databases,C4,Rosie THOMPSON,88937,Roseline BROWN,2023-01-17
1,Databases,C4,Rosie THOMPSON,88938,Rosene WALKER,2023-01-17
1,Databases,C4,Rosie THOMPSON,88939,Rose SMITH,2023-01-17
1,Databases,C4,Rosie THOMPSON,88940,Rosemaria MOORE,2023-01-17
1,Databases,C4,Rosie THOMPSON,88941,Rochella JACKSON,2023-01-17
1,Databases,C4,Rosie THOMPSON,88942,Ronna JOHNSON,2023-01-17
1,Databases,C4,Rosie THOMPSON,88943,Ronda ROBINSON,2023-01-17
1,Databases,C4,Rosie THOMPSON,88944,Roselia MILLER,2023-01-17
1,Databases,C4,Rosie THOMPSON,88945,Rora LEE,2023-01-17
1,Databases,C4,Rosie THOMPSON,88946,Roslyn ANDERSON,2023-01-17
1,Databases,C4,Rosie THOMPSON,88947,Rosina WILSON,2023-01-17
2,Security Information and Organization,G4,Ronni HARRIS,88948,Rosamund GARCIA,2023-02-27
2,Security Information and Organization,G4,Ronni HARRIS,88949,Ronny WILSON,2023-02-27
2,Security Information and Organization,G4,Ronni HARRIS,88950,Rora YOUNG,2023-02-27
2,Security Information and Organization,G4,Ronni HARRIS,88951,Ronalda ROBINSON,2023-02-27
2,Security Information and Organization,G4,Ronni HARRIS,88952,Rosalind LEWIS,2023-02-27
